Deutsch,Transkription
Hallo,Marhaban
Guten Morgen,Ṣabāḥ al-khayr
Guten Abend,Masāʾ al-khayr
Wie geht's?,Kayfa ḥāluka/ḥāluki?
Mir geht's gut,Anā bikhayr
Ich heiße …,Ismī …
Ich bin … Jahre alt,ʿUmrī … sana
Ich komme aus …,Anā min …
Ich wohne in …,Askunu fī …
Ich bin Student/Studentin,Anā ṭālib / ṭāliba
Danke,Shukran
Bitte,Min faḍlik
Gern geschehen,ʿAfwan
Entschuldigung,Āsif / āsifa
Kein Problem,Lā mushkila
Ich verstehe nicht,Anā lā afham
Sprechen Sie Deutsch?,Hal tatakallam al-almāniyya?
Ich spreche nur wenig Arabisch,Atakallam qalīlan min al-ʿarabiyya
Können Sie das wiederholen?,Hal yumkinuka at-tikrār?
Sprechen Sie langsam bitte,"Takallam bibuṭʾ, min faḍlik"
Null,Ṣifr
Eins,Wāḥid
Zwei,Ithnān
Drei,Thalātha
Vier,Arbaʿa
Fünf,Khamsa
Sechs,Sitta
Sieben,Sabʿa
Acht,Thamāniya
Neun,Tisʿa
Zehn,ʿAshara
Wasser,Māʾ
Brot,Khubz
Milch,Ḥalīb
Fleisch,Laḥm
Reis,ʾAruzz
Fisch,Samak
Gemüse,Khuḍār
Obst,Fākihat
Ich habe Hunger,Anā jāʾiʿ
Ich habe Durst,Anā ʿaṭshān
Montag,Al-ithnayn
Dienstag,Ath-thulāthāʾ
Mittwoch,Al-arbiʿāʾ
Donnerstag,Al-khamīs
Freitag,Al-jumʿa
Samstag,As-sabt
Sonntag,Al-aḥad
Schwarz,ʾAswad
Weiß,ʾAbyaḍ
Rot,ʾAḥmar
Blau,ʾAzraq
Grün,ʾAkhḍar
Gelb,ʾAṣfar
Braun,Bunnī
Grau,Ramādī
Es ist heiß,Al-jaww ḥārr
Es ist kalt,Al-jaww bārid
Es regnet,Tumṭir
Es ist sonnig,Mushmis
Es ist windig,ʿĀṣif
Kleidung,Malābis
Hemd,Qamīṣ
Hose,Bintāl
Jacke,Sutra
Kleid,Fustān
Schuhe,Ḥidhāʾ
Kopftuch,Ḥijāb
Familie,ʿĀʾila
Vater,ʾAb
Mutter,ʾUmm
Bruder,ʾAkh
Schwester,ʾUkht
Sohn,Ibn
Tochter,Ibtina / Bint
Morgen,Ṣabāḥ
Mittag,Ẓuhr
Nachmittag,ʿAṣr
Abend,Masāʾ
Nacht,Layl
Haus,Bayt
Schule,Madrasa
Universität,Jāmiʿa
Moschee,Masjid
Markt,Sūq
Straße,Shāriʿ
gehen,Yadhhab
kommen,Yaʾtī
essen,Yaʾkul
trinken,Yashrab
lesen,Yaqraʾ
schreiben,Yaktub
sprechen,Yatakallam
Was?,Mādhā?
Wer?,Man?
Wo?,Ayna?
Wann?,Matā?
Wie?,Kayfa?
Warum?,Limādhā?
Ich,Anā
Du (m),Anta
Du (w),Anti
Er,Huwa
Sie,Hiya
Wir,Naḥnu
Ihr (m),Antum
Sie (pl),Hum
glücklich,Saʿīd
traurig,Ḥazīn
müde,Mutʿab
wütend,Ghāḍib
nervös,Mutawattir
ruhig,Hādiʾ
Kopf,Raʾs
Hand,Yad
Fuß,Qadam
Auge,ʿAyn
Ohr,ʾUdhun
Mund,Fam
Nase,ʾAnf
groß,Kabīr
klein,Ṣaghīr
schön,Jamīl
hässlich,Qabīḥ
alt,Qadīm
neu,Jadīd
Guten Appetit,Shahiyya ṭayyiba
Herzlichen Glückwunsch,Mabrūk
Viel Glück,Ḥaẓẓan saʿīdan
Bis später,Arāka lāḥiqan
In Ordnung / Okay,Ṭayyib
So Gott will,In shāʾ Allāh
Gott sei Dank,Al-ḥamdu lillāh
Heute,Al-yawm
Morgen,Ghadan
Gestern,Ams
Stunde,Sāʿa
Minute,Daqīqa
Sekunde,Thāniya
aufstehen,Yastaīqiẓ
schlafen,Yanām
arbeiten,Yaʿmal
lernen,Yataʿallam
kochen,Yaṭbukh
putzen,Yunaẓẓif
Elf,ʾAḥada ʿashar
Zwölf,Ithnā ʿashar
Dreizehn,Thalāthata ʿashar
Zwanzig,ʿIshrūn
Dreißig,Thalāthūn
