Deutsch,Arabisch,Transkription,Kategorie
glücklich,سعيد,Saʿīd,Emotion
traurig,حزين,Ḥazīn,Emotion
wütend,غاضب,Ghāḍib,Emotion
verliebt,مغرم,Mughram,Emotion
aufgeregt,متحمس,Mutaḥammis,Emotion
ängstlich,خائف,Khāʾif,Emotion
ruhig,هادئ,Hādiʾ,Emotion
gelangweilt,ضجر,Ḍajar,Emotion
nett,لطيف,Laṭīf,Charakter
ehrlich,صادق,Ṣādiq,Charakter
faul,كسول,Kasūl,Charakter
fleißig,مجتهد,Mujtahid,Charakter
klug,ذكي,Dhakī,Charakter
dumm,غبي,Ghabī,Charakter
geduldig,صبور,Ṣabūr,Charakter
hilfsbereit,متعاون,Mutāʿāwin,Charakter
neu,جديد,Jadīd,Adjektiv
alt,قديم,Qadīm,Adjektiv
lang,طويل,Ṭawīl,Adjektiv
kurz,قصير,Qaṣīr,Adjektiv
schwer,ثقيل,Thaqīl,Adjektiv
leicht,خفيف,Khafīf,Adjektiv
schnell,سريع,Sarīʿ,Adjektiv
langsam,بطيء,Baṭīʾ,Adjektiv
Ich mag ...,أحب ...,Uḥibb ...,Wunsch
Ich liebe ...,أعشق ...,Aʿshaq ...,Wunsch
Ich möchte ...,أريد ...,Urīdu ...,Wunsch
Ich wünsche mir ...,أتمنى ...,Atamannā ...,Wunsch
Ich interessiere mich für ...,أنا مهتم بـ ...,Anā muhtamm bi ...,Wunsch
Ich hasse ...,أكره ...,Akrah ...,Wunsch
