Deutsch,Arabisch,Transkription,Kategorie
Hallo,مرحبا,Marhaban,Begrüßung
Guten Morgen,صباح الخير,Ṣabāḥ al-khayr,Begrüßung
Guten Abend,مساء الخير,Masāʾ al-khayr,Begrüßung
Wie geht's?,كيف حالك؟,Kayfa ḥāluka/ḥāluki?,Begrüßung
Mir geht's gut,أنا بخير,Anā bikhayr,Antwort
Ich heiße …,اسمي …,Ismī …,Vorstellung
Ich bin … Jahre alt,عمري … سنة,ʿUmrī … sana,Vorstellung
Ich komme aus …,أنا من …,Anā min …,Vorstellung
Ich wohne in …,أسكن في …,Askunu fī …,Vorstellung
Ich bin Student/Studentin,أنا طالب / طالبة,Anā ṭālib / ṭāliba,Vorstellung
Danke,شكراً,Shukran,Höflichkeit
Bitte,من فضلك,Min faḍlik,Höflichkeit
Gern geschehen,عفواً,ʿAfwan,Höflichkeit
Entschuldigung,آسف / آسفة,Āsif / āsifa,Höflichkeit
Kein Problem,لا مشكلة,Lā mushkila,Antwort
Ich verstehe nicht,أنا لا أفهم,Anā lā afham,Kommunikation
Sprechen Sie Deutsch?,هل تتكلم الألمانية؟,Hal tatakallam al-almāniyya?,Kommunikation
Ich spreche nur wenig Arabisch,أتكلم قليلاً من العربية,Atakallam qalīlan min al-ʿarabiyya,Kommunikation
Können Sie das wiederholen?,هل يمكنك التكرار؟,Hal yumkinuka at-tikrār?,Kommunikation
Sprechen Sie langsam bitte,تكلم ببطء من فضلك,"Takallam bibuṭʾ, min faḍlik",Kommunikation
Null,صفر,Ṣifr,Zahlen
Eins,واحد,Wāḥid,Zahlen
Zwei,اثنان,Ithnān,Zahlen
Drei,ثلاثة,Thalātha,Zahlen
Vier,أربعة,Arbaʿa,Zahlen
Fünf,خمسة,Khamsa,Zahlen
Sechs,ستة,Sitta,Zahlen
Sieben,سبعة,Sabʿa,Zahlen
Acht,ثمانية,Thamāniya,Zahlen
Neun,تسعة,Tisʿa,Zahlen
Zehn,عشرة,ʿAshara,Zahlen
Wasser,ماء,Māʾ,Essen & Trinken
Brot,خبز,Khubz,Essen & Trinken
Milch,حليب,Ḥalīb,Essen & Trinken
Fleisch,لحم,Laḥm,Essen & Trinken
Reis,أرز,ʾAruzz,Essen & Trinken
Fisch,سمك,Samak,Essen & Trinken
Gemüse,خضار,Khuḍār,Essen & Trinken
Obst,فاكهة,Fākihat,Essen & Trinken
Ich habe Hunger,أنا جائع,Anā jāʾiʿ,Essen & Trinken
Ich habe Durst,أنا عطشان,Anā ʿaṭshān,Essen & Trinken
Montag,الاثنين,Al-ithnayn,Wochentage
Dienstag,الثلاثاء,Ath-thulāthāʾ,Wochentage
Mittwoch,الأربعاء,Al-arbiʿāʾ,Wochentage
Donnerstag,الخميس,Al-khamīs,Wochentage
Freitag,الجمعة,Al-jumʿa,Wochentage
Samstag,السبت,As-sabt,Wochentage
Sonntag,الأحد,Al-aḥad,Wochentage
Schwarz,أسود,ʾAswad,Farben
